t,ax,ay,ayaw,av,aomega,ox0,oy0,ovx0,ovy0,or0,ox1,oy1,ovx1,ovy1,or1,ox2,oy2,ovx2,ovy2,or2,ox3,oy3,ovx3,ovy3,or3,ox4,oy4,ovx4,ovy4,or4,ox5,oy5,ovx5,ovy5,or5,ox6,oy6,ovx6,ovy6,or6,ox7,oy7,ovx7,ovy7,or7
4.657,59.58,55.74,2.471,15.0,-2.5,443.19,48.82,-62.57,-82.36,10.0,724.84,530.21,-72.64,-37.56,10.0,72.98,140.3,48.04,-92.24,10.0,582.62,478.89,30.16,-31.02,10.0,535.9,48.54,7.27,-62.16,10.0,61.12,107.75,55.99,8.45,10.0,355.2,427.19,-65.25,17.47,10.0,97.62,188.59,-2.8,63.33,10.0
4.674,59.39,55.91,2.428,15.0,-2.5,442.13,47.42,-62.57,-82.36,10.0,723.61,529.57,-72.64,-37.56,10.0,73.79,138.74,48.04,-92.24,10.0,583.13,478.36,30.16,-31.02,10.0,536.03,47.49,7.27,-62.16,10.0,62.07,107.89,55.99,8.45,10.0,354.09,427.48,-65.25,17.47,10.0,97.57,189.67,-2.8,63.33,10.0
4.691,59.21,56.08,2.386,15.0,-2.5,441.06,46.02,-62.57,-82.36,10.0,722.37,528.93,-72.64,-37.56,10.0,74.61,137.17,48.04,-92.24,10.0,583.64,477.84,30.16,-31.02,10.0,536.15,46.43,7.27,-62.16,10.0,63.03,108.03,55.99,8.45,10.0,352.98,427.78,-65.25,17.47,10.0,97.53,190.74,-2.8,63.33,10.0
4.709,59.02,56.28,2.341,15.0,-2.5,439.94,44.54,-62.57,-82.36,10.0,721.06,528.25,-72.64,-37.56,10.0,75.48,135.51,48.04,-92.24,10.0,584.19,477.28,30.16,-31.02,10.0,536.28,45.31,7.27,-62.16,10.0,64.03,108.19,55.99,8.45,10.0,351.81,428.1,-65.25,17.47,10.0,97.48,191.88,-2.8,63.33,10.0
4.726,58.85,56.47,2.298,15.0,-2.5,438.87,43.14,-62.57,-82.36,10.0,719.83,527.62,-72.64,-37.56,10.0,76.29,133.94,48.04,-92.24,10.0,584.7,476.75,30.16,-31.02,10.0,536.4,44.26,7.27,-62.16,10.0,64.99,108.33,55.99,8.45,10.0,350.7,428.39,-65.25,17.47,10.0,97.43,192.96,-2.8,63.33,10.0
4.743,58.69,56.67,2.256,15.0,-2.5,437.81,41.74,-62.57,-82.36,10.0,718.59,526.98,-72.64,-37.56,10.0,77.11,132.37,48.04,-92.24,10.0,585.21,476.22,30.16,-31.02,10.0,536.53,43.2,7.27,-62.16,10.0,65.94,108.47,55.99,8.45,10.0,349.59,428.69,-65.25,17.47,10.0,97.38,194.04,-2.8,63.33,10.0
4.759,58.54,56.86,2.216,15.0,-2.5,436.81,40.42,-62.57,-82.36,10.0,717.43,526.38,-72.64,-37.56,10.0,77.88,130.9,48.04,-92.24,10.0,585.69,475.73,30.16,-31.02,10.0,536.64,42.2,7.27,-62.16,10.0,66.83,108.61,55.99,8.45,10.0,348.55,428.97,-65.25,17.47,10.0,97.34,195.05,-2.8,63.33,10.0
4.775,58.41,57.05,2.176,15.0,-2.5,435.81,39.1,-62.57,-82.36,10.0,716.27,525.77,-72.64,-37.56,10.0,78.65,129.42,48.04,-92.24,10.0,586.18,475.23,30.16,-31.02,10.0,536.76,41.21,7.27,-62.16,10.0,67.73,108.74,55.99,8.45,10.0,347.5,429.25,-65.25,17.47,10.0,97.29,196.06,-2.8,63.33,10.0
4.792,58.27,57.27,2.133,15.0,-2.5,434.74,37.7,-62.57,-82.36,10.0,715.03,525.14,-72.64,-37.56,10.0,79.46,127.85,48.04,-92.24,10.0,586.69,474.7,30.16,-31.02,10.0,536.88,40.15,7.27,-62.16,10.0,68.68,108.89,55.99,8.45,10.0,346.39,429.55,-65.25,17.47,10.0,97.24,197.14,-2.8,63.33,10.0
4.809,58.27,57.27,2.091,0.0,-2.5,433.68,36.3,-62.57,-82.36,10.0,713.8,524.5,-72.64,-37.56,10.0,80.28,126.28,48.04,-92.24,10.0,587.2,474.18,30.16,-31.02,10.0,537.01,39.1,7.27,-62.16,10.0,69.63,109.03,55.99,8.45,10.0,345.29,429.84,-65.25,17.47,10.0,97.2,198.21,-2.8,63.33,10.0
4.835,58.27,57.27,2.026,0.0,-2.5,432.05,34.16,-62.57,-82.36,10.0,711.91,523.52,-72.64,-37.56,10.0,81.53,123.89,48.04,-92.24,10.0,587.99,473.37,30.16,-31.02,10.0,537.2,37.48,7.27,-62.16,10.0,71.09,109.25,55.99,8.45,10.0,343.59,430.3,-65.25,17.47,10.0,97.12,199.86,-2.8,63.33,10.0
4.852,58.27,57.27,1.983,0.0,-2.5,430.99,32.76,-62.57,-82.36,10.0,710.68,522.88,-72.64,-37.56,10.0,82.34,122.32,48.04,-92.24,10.0,588.5,472.84,30.16,-31.02,10.0,537.32,36.42,7.27,-62.16,10.0,72.04,109.39,55.99,8.45,10.0,342.48,430.59,-65.25,17.47,10.0,97.08,200.94,-2.8,63.33,10.0
4.869,58.27,57.27,1.941,0.0,-2.5,429.93,31.36,-62.57,-82.36,10.0,709.44,522.24,-72.64,-37.56,10.0,83.16,120.75,48.04,-92.24,10.0,589.01,472.32,30.16,-31.02,10.0,537.44,35.37,7.27,-62.16,10.0,72.99,109.54,55.99,8.45,10.0,341.37,430.89,-65.25,17.47,10.0,97.03,202.01,-2.8,63.33,10.0
4.886,58.27,57.27,1.898,0.0,-2.5,428.86,29.96,-62.57,-82.36,10.0,708.21,521.61,-72.64,-37.56,10.0,83.98,119.18,48.04,-92.24,10.0,589.53,471.79,30.16,-31.02,10.0,537.57,34.31,7.27,-62.16,10.0,73.95,109.68,55.99,8.45,10.0,340.26,431.19,-65.25,17.47,10.0,96.98,203.09,-2.8,63.33,10.0
4.903,58.27,57.27,1.856,0.0,-2.5,427.8,28.56,-62.57,-82.36,10.0,706.97,520.97,-72.64,-37.56,10.0,84.79,117.61,48.04,-92.24,10.0,590.04,471.26,30.16,-31.02,10.0,537.69,33.25,7.27,-62.16,10.0,74.9,109.82,55.99,8.45,10.0,339.15,431.48,-65.25,17.47,10.0,96.93,204.17,-2.8,63.33,10.0
4.919,58.27,57.27,1.816,0.0,-2.5,426.8,27.24,-62.57,-82.36,10.0,705.81,520.37,-72.64,-37.56,10.0,85.56,116.14,48.04,-92.24,10.0,590.52,470.76,30.16,-31.02,10.0,537.81,32.26,7.27,-62.16,10.0,75.79,109.96,55.99,8.45,10.0,338.11,431.76,-65.25,17.47,10.0,96.89,205.18,-2.8,63.33,10.0
4.936,58.27,57.27,1.773,0.0,-2.5,425.73,25.84,-62.57,-82.36,10.0,704.57,519.73,-72.64,-37.56,10.0,86.38,114.57,48.04,-92.24,10.0,591.03,470.24,30.16,-31.02,10.0,537.93,31.2,7.27,-62.16,10.0,76.74,110.1,55.99,8.45,10.0,337.0,432.06,-65.25,17.47,10.0,96.84,206.26,-2.8,63.33,10.0
4.953,58.27,57.27,1.731,0.0,-2.5,424.67,24.44,-62.57,-82.36,10.0,703.34,519.09,-72.64,-37.56,10.0,87.2,113.0,48.04,-92.24,10.0,591.55,469.71,30.16,-31.02,10.0,538.05,30.15,7.27,-62.16,10.0,77.7,110.25,55.99,8.45,10.0,335.89,432.36,-65.25,17.47,10.0,96.79,207.33,-2.8,63.33,10.0
4.969,58.27,57.27,1.691,0.0,-2.5,423.67,23.12,-62.57,-82.36,10.0,702.18,518.49,-72.64,-37.56,10.0,87.97,111.53,48.04,-92.24,10.0,592.03,469.21,30.16,-31.02,10.0,538.17,29.15,7.27,-62.16,10.0,78.59,110.38,55.99,8.45,10.0,334.85,432.64,-65.25,17.47,10.0,96.75,208.35,-2.8,63.33,10.0
4.986,58.27,57.27,1.648,0.0,-2.5,422.61,21.72,-62.57,-82.36,10.0,700.94,517.85,-72.64,-37.56,10.0,88.78,109.96,48.04,-92.24,10.0,592.54,468.69,30.16,-31.02,10.0,538.29,28.1,7.27,-62.16,10.0,79.54,110.52,55.99,8.45,10.0,333.74,432.93,-65.25,17.47,10.0,96.7,209.42,-2.8,63.33,10.0
5.002,58.27,57.27,1.608,0.0,-2.5,421.61,20.4,-62.57,-82.36,10.0,699.78,517.25,-72.64,-37.56,10.0,89.55,108.48,48.04,-92.24,10.0,593.02,468.19,30.16,-31.02,10.0,538.41,27.1,7.27,-62.16,10.0,80.44,110.66,55.99,8.45,10.0,332.69,433.21,-65.25,17.47,10.0,96.66,210.44,-2.8,63.33,10.0
5.019,58.27,57.27,1.566,0.0,-2.5,420.54,19.0,-62.57,-82.36,10.0,698.54,516.61,-72.64,-37.56,10.0,90.37,106.91,48.04,-92.24,10.0,593.54,467.66,30.16,-31.02,10.0,538.53,26.04,7.27,-62.16,10.0,81.39,110.8,55.99,8.45,10.0,331.58,433.51,-65.25,17.47,10.0,96.61,211.51,-2.8,63.33,10.0
5.04,58.27,57.27,1.513,0.0,-2.5,419.23,17.27,-62.57,-82.36,10.0,697.02,515.82,-72.64,-37.56,10.0,91.38,104.98,48.04,-92.24,10.0,594.17,467.01,30.16,-31.02,10.0,538.69,24.74,7.27,-62.16,10.0,82.57,110.98,55.99,8.45,10.0,330.21,433.88,-65.25,17.47,10.0,96.55,212.84,-2.8,63.33,10.0
5.057,58.27,57.27,1.471,0.0,-2.5,418.16,15.87,-62.57,-82.36,10.0,695.78,515.18,-72.64,-37.56,10.0,92.19,103.41,48.04,-92.24,10.0,594.68,466.48,30.16,-31.02,10.0,538.81,23.68,7.27,-62.16,10.0,83.52,111.12,55.99,8.45,10.0,329.1,434.17,-65.25,17.47,10.0,96.5,213.92,-2.8,63.33,10.0
5.074,58.27,57.27,1.428,0.0,-2.5,417.1,14.47,-62.57,-82.36,10.0,694.55,514.54,-72.64,-37.56,10.0,93.01,101.84,48.04,-92.24,10.0,595.2,465.96,30.16,-31.02,10.0,538.93,22.63,7.27,-62.16,10.0,84.47,111.27,55.99,8.45,10.0,328.0,434.47,-65.25,17.47,10.0,96.46,215.0,-2.8,63.33,10.0
5.09,58.27,57.27,1.388,0.0,-2.5,416.1,13.16,-62.57,-82.36,10.0,693.39,513.94,-72.64,-37.56,10.0,93.78,100.36,48.04,-92.24,10.0,595.68,465.46,30.16,-31.02,10.0,539.05,21.63,7.27,-62.16,10.0,85.37,111.4,55.99,8.45,10.0,326.95,434.75,-65.25,17.47,10.0,96.41,216.01,-2.8,63.33,10.0
5.106,58.27,57.27,1.348,0.0,-2.5,415.1,11.84,-62.57,-82.36,10.0,692.22,513.34,-72.64,-37.56,10.0,94.55,98.89,48.04,-92.24,10.0,596.16,464.96,30.16,-31.02,10.0,539.17,20.64,7.27,-62.16,10.0,86.26,111.54,55.99,8.45,10.0,325.91,435.03,-65.25,17.47,10.0,96.37,217.02,-2.8,63.33,10.0
5.123,58.27,57.27,1.306,0.0,-2.5,414.03,10.44,-62.57,-82.36,10.0,690.99,512.7,-72.64,-37.56,10.0,95.36,97.32,48.04,-92.24,10.0,596.67,464.44,30.16,-31.02,10.0,539.29,19.58,7.27,-62.16,10.0,87.22,111.68,55.99,8.45,10.0,324.8,435.33,-65.25,17.47,10.0,96.32,218.1,-2.8,63.33,10.0
5.139,58.27,57.27,1.266,0.0,-2.5,413.03,10.0,-62.57,82.36,10.0,689.83,512.1,-72.64,-37.56,10.0,96.13,95.85,48.04,-92.24,10.0,597.16,463.94,30.16,-31.02,10.0,539.41,18.59,7.27,-62.16,10.0,88.11,111.82,55.99,8.45,10.0,323.75,435.61,-65.25,17.47,10.0,96.28,219.11,-2.8,63.33,10.0
5.156,58.27,57.27,1.223,0.0,-2.5,411.97,11.4,-62.57,82.36,10.0,688.59,511.46,-72.64,-37.56,10.0,96.95,94.28,48.04,-92.24,10.0,597.67,463.41,30.16,-31.02,10.0,539.53,17.53,7.27,-62.16,10.0,89.06,111.96,55.99,8.45,10.0,322.64,435.9,-65.25,17.47,10.0,96.23,220.19,-2.8,63.33,10.0
5.173,58.27,57.27,1.181,0.0,-2.5,410.91,12.8,-62.57,82.36,10.0,687.36,510.83,-72.64,-37.56,10.0,97.76,92.71,48.04,-92.24,10.0,598.18,462.89,30.16,-31.02,10.0,539.65,16.47,7.27,-62.16,10.0,90.02,112.1,55.99,8.45,10.0,321.54,436.2,-65.25,17.47,10.0,96.18,221.27,-2.8,63.33,10.0
5.19,58.27,57.27,1.138,0.0,-2.5,409.84,14.2,-62.57,82.36,10.0,686.12,510.19,-72.64,-37.56,10.0,98.58,91.14,48.04,-92.24,10.0,598.69,462.36,30.16,-31.02,10.0,539.78,15.42,7.27,-62.16,10.0,90.97,112.25,55.99,8.45,10.0,320.43,436.5,-65.25,17.47,10.0,96.13,222.34,-2.8,63.33,10.0
5.207,58.27,57.27,1.096,0.0,-2.5,408.78,15.6,-62.57,82.36,10.0,684.89,509.55,-72.64,-37.56,10.0,99.4,89.57,48.04,-92.24,10.0,599.21,461.83,30.16,-31.02,10.0,539.9,14.36,7.27,-62.16,10.0,91.92,112.39,55.99,8.45,10.0,319.32,436.79,-65.25,17.47,10.0,96.09,223.42,-2.8,63.33,10.0
5.223,58.27,57.27,1.056,0.0,-2.5,407.78,16.92,-62.57,82.36,10.0,683.73,508.95,-72.64,-37.56,10.0,100.17,88.1,48.04,-92.24,10.0,599.69,461.34,30.16,-31.02,10.0,540.02,13.36,7.27,-62.16,10.0,92.82,112.53,55.99,8.45,10.0,318.27,437.07,-65.25,17.47,10.0,96.04,224.43,-2.8,63.33,10.0
5.243,58.43,57.52,1.006,15.0,-2.5,406.53,18.57,-62.57,82.36,10.0,682.27,508.2,-72.64,-37.56,10.0,101.13,86.25,48.04,-92.24,10.0,600.29,460.71,30.16,-31.02,10.0,540.16,12.12,7.27,-62.16,10.0,93.94,112.69,55.99,8.45,10.0,316.97,437.42,-65.25,17.47,10.0,95.98,225.7,-2.8,63.33,10.0
5.26,58.58,57.73,0.963,15.0,-2.5,405.46,19.97,-62.57,82.36,10.0,681.04,507.56,-72.64,-37.56,10.0,101.94,84.68,48.04,-92.24,10.0,600.81,460.19,30.16,-31.02,10.0,540.29,11.07,7.27,-62.16,10.0,94.89,112.84,55.99,8.45,10.0,315.86,437.72,-65.25,17.47,10.0,95.94,226.78,-2.8,63.33,10.0
5.277,58.73,57.94,0.921,15.0,-2.5,404.4,21.37,-62.57,82.36,10.0,679.8,506.92,-72.64,-37.56,10.0,102.76,83.12,48.04,-92.24,10.0,601.32,459.66,30.16,-31.02,10.0,540.41,10.01,7.27,-62.16,10.0,95.84,112.98,55.99,8.45,10.0,314.75,438.02,-65.25,17.47,10.0,95.89,227.85,-2.8,63.33,10.0
5.293,58.88,58.12,0.881,15.0,-2.5,403.4,22.68,-62.57,82.36,10.0,678.64,506.32,-72.64,-37.56,10.0,103.53,81.64,48.04,-92.24,10.0,601.8,459.16,30.16,-31.02,10.0,540.53,10.0,7.27,62.16,10.0,96.73,113.12,55.99,8.45,10.0,313.71,438.3,-65.25,17.47,10.0,95.84,228.87,-2.8,63.33,10.0
5.31,59.05,58.31,0.838,15.0,-2.5,402.33,24.08,-62.57,82.36,10.0,677.41,505.68,-72.64,-37.56,10.0,104.35,80.07,48.04,-92.24,10.0,602.31,458.64,30.16,-31.02,10.0,540.65,11.06,7.27,62.16,10.0,97.69,113.26,55.99,8.45,10.0,312.6,438.59,-65.25,17.47,10.0,95.8,229.94,-2.8,63.33,10.0
5.327,59.23,58.49,0.796,15.0,-2.5,401.27,25.48,-62.57,82.36,10.0,676.17,505.04,-72.64,-37.56,10.0,105.16,78.5,48.04,-92.24,10.0,602.83,458.11,30.16,-31.02,10.0,540.77,12.11,7.27,62.16,10.0,98.64,113.4,55.99,8.45,10.0,311.49,438.89,-65.25,17.47,10.0,95.75,231.02,-2.8,63.33,10.0
5.344,59.42,58.67,0.753,15.0,-2.5,400.21,26.88,-62.57,82.36,10.0,674.94,504.4,-72.64,-37.56,10.0,105.98,76.94,48.04,-92.24,10.0,603.34,457.58,30.16,-31.02,10.0,540.9,13.17,7.27,62.16,10.0,99.59,113.55,55.99,8.45,10.0,310.38,439.19,-65.25,17.47,10.0,95.7,232.1,-2.8,63.33,10.0
5.36,59.6,58.82,0.713,15.0,-2.5,399.21,28.2,-62.57,82.36,10.0,673.77,503.8,-72.64,-37.56,10.0,106.75,75.46,48.04,-92.24,10.0,603.82,457.09,30.16,-31.02,10.0,541.01,14.16,7.27,62.16,10.0,100.49,113.68,55.99,8.45,10.0,309.33,439.47,-65.25,17.47,10.0,95.66,233.11,-2.8,63.33,10.0
5.376,59.79,58.97,0.673,15.0,-2.5,398.2,29.52,-62.57,82.36,10.0,672.61,503.2,-72.64,-37.56,10.0,107.52,73.98,48.04,-92.24,10.0,604.3,456.59,30.16,-31.02,10.0,541.13,15.16,7.27,62.16,10.0,101.38,113.82,55.99,8.45,10.0,308.29,439.75,-65.25,17.47,10.0,95.61,234.12,-2.8,63.33,10.0
5.393,59.99,59.12,0.631,15.0,-2.5,397.14,30.92,-62.57,82.36,10.0,671.38,502.56,-72.64,-37.56,10.0,108.33,72.42,48.04,-92.24,10.0,604.82,456.06,30.16,-31.02,10.0,541.25,16.22,7.27,62.16,10.0,102.33,113.96,55.99,8.45,10.0,307.18,440.04,-65.25,17.47,10.0,95.57,235.2,-2.8,63.33,10.0
5.41,60.21,59.27,0.588,15.0,-2.5,396.08,32.32,-62.57,82.36,10.0,670.14,501.92,-72.64,-37.56,10.0,109.15,70.85,48.04,-92.24,10.0,605.33,455.53,30.16,-31.02,10.0,541.38,17.27,7.27,62.16,10.0,103.29,114.11,55.99,8.45,10.0,306.07,440.34,-65.25,17.47,10.0,95.52,236.28,-2.8,63.33,10.0
5.426,60.41,59.39,0.558,15.0,-1.9,395.08,33.64,-62.57,82.36,10.0,668.98,501.32,-72.64,-37.56,10.0,109.92,69.37,48.04,-92.24,10.0,605.81,455.04,30.16,-31.02,10.0,541.49,18.27,7.27,62.16,10.0,104.18,114.24,55.99,8.45,10.0,305.03,440.62,-65.25,17.47,10.0,95.47,237.29,-2.8,63.33,10.0
5.445,60.66,59.54,0.527,15.0,-1.6,393.89,35.2,-62.57,82.36,10.0,667.6,500.61,-72.64,-37.56,10.0,110.83,67.62,48.04,-92.24,10.0,606.39,454.45,30.16,-31.02,10.0,541.63,19.45,7.27,62.16,10.0,105.25,114.4,55.99,8.45,10.0,303.79,440.95,-65.25,17.47,10.0,95.42,238.49,-2.8,63.33,10.0
5.462,60.88,59.66,0.5,15.0,-1.6,392.82,36.6,-62.57,82.36,10.0,666.36,499.97,-72.64,-37.56,10.0,111.65,66.05,48.04,-92.24,10.0,606.9,453.92,30.16,-31.02,10.0,541.75,20.5,7.27,62.16,10.0,106.2,114.54,55.99,8.45,10.0,302.68,441.25,-65.25,17.47,10.0,95.37,239.57,-2.8,63.33,10.0
5.479,61.11,59.77,0.473,15.0,-1.6,391.76,38.0,-62.57,82.36,10.0,665.13,499.33,-72.64,-37.56,10.0,112.46,64.48,48.04,-92.24,10.0,607.41,453.39,30.16,-31.02,10.0,541.88,21.56,7.27,62.16,10.0,107.15,114.69,55.99,8.45,10.0,301.57,441.54,-65.25,17.47,10.0,95.32,240.65,-2.8,63.33,10.0
5.496,61.34,59.88,0.446,15.0,-1.6,390.7,39.4,-62.57,82.36,10.0,663.89,498.69,-72.64,-37.56,10.0,113.28,62.92,48.04,-92.24,10.0,607.92,452.87,30.16,-31.02,10.0,542.0,22.62,7.27,62.16,10.0,108.1,114.83,55.99,8.45,10.0,300.46,441.84,-65.25,17.47,10.0,95.28,241.72,-2.8,63.33,10.0
5.513,61.57,59.99,0.418,15.0,-1.6,389.63,40.8,-62.57,82.36,10.0,662.66,498.06,-72.64,-37.56,10.0,114.1,61.35,48.04,-92.24,10.0,608.44,452.34,30.16,-31.02,10.0,542.13,23.67,7.27,62.16,10.0,109.05,114.98,55.99,8.45,10.0,299.35,442.14,-65.25,17.47,10.0,95.23,242.8,-2.8,63.33,10.0
5.53,61.81,60.09,0.391,15.0,-1.6,388.57,42.2,-62.57,82.36,10.0,661.42,497.42,-72.64,-37.56,10.0,114.91,59.78,48.04,-92.24,10.0,608.95,451.81,30.16,-31.02,10.0,542.25,24.73,7.27,62.16,10.0,110.01,115.12,55.99,8.45,10.0,298.24,442.44,-65.25,17.47,10.0,95.18,243.88,-2.8,63.33,10.0
5.547,62.04,60.18,0.364,15.0,-1.6,387.51,43.6,-62.57,82.36,10.0,660.19,496.78,-72.64,-37.56,10.0,115.73,58.21,48.04,-92.24,10.0,609.46,451.29,30.16,-31.02,10.0,542.37,25.79,7.27,62.16,10.0,110.96,115.26,55.99,8.45,10.0,297.13,442.73,-65.25,17.47,10.0,95.13,244.95,-2.8,63.33,10.0
5.564,62.28,60.26,0.337,15.0,-1.6,386.44,45.0,-62.57,82.36,10.0,658.95,496.14,-72.64,-37.56,10.0,116.55,56.64,48.04,-92.24,10.0,609.98,450.76,30.16,-31.02,10.0,542.5,26.84,7.27,62.16,10.0,111.91,115.41,55.99,8.45,10.0,296.02,443.03,-65.25,17.47,10.0,95.09,246.03,-2.8,63.33,10.0
5.58,62.51,60.33,0.311,15.0,-1.6,385.44,46.32,-62.57,82.36,10.0,657.79,495.54,-72.64,-37.56,10.0,117.32,55.17,48.04,-92.24,10.0,610.46,450.26,30.16,-31.02,10.0,542.61,27.84,7.27,62.16,10.0,112.81,115.54,55.99,8.45,10.0,294.98,443.31,-65.25,17.47,10.0,95.04,247.04,-2.8,63.33,10.0
5.597,62.76,60.41,0.284,15.0,-1.6,384.38,47.72,-62.57,82.36,10.0,656.56,494.9,-72.64,-37.56,10.0,118.13,53.6,48.04,-92.24,10.0,610.97,449.73,30.16,-31.02,10.0,542.74,28.9,7.27,62.16,10.0,113.76,115.68,55.99,8.45,10.0,293.87,443.61,-65.25,17.47,10.0,94.99,248.12,-2.8,63.33,10.0
5.614,63.0,60.47,0.257,15.0,-1.6,383.31,49.12,-62.57,82.36,10.0,655.32,494.26,-72.64,-37.56,10.0,118.95,52.03,48.04,-92.24,10.0,611.48,449.21,30.16,-31.02,10.0,542.86,29.95,7.27,62.16,10.0,114.71,115.83,55.99,8.45,10.0,292.76,443.9,-65.25,17.47,10.0,94.95,249.19,-2.8,63.33,10.0
5.631,63.0,60.47,0.219,0.0,-2.2,382.25,50.52,-62.57,82.36,10.0,654.09,493.62,-72.64,-37.56,10.0,119.77,50.46,48.04,-92.24,10.0,612.0,448.68,30.16,-31.02,10.0,542.98,31.01,7.27,62.16,10.0,115.66,115.97,55.99,8.45,10.0,291.65,444.2,-65.25,17.47,10.0,94.9,250.27,-2.8,63.33,10.0
5.65,63.0,60.47,0.172,0.0,-2.5,381.06,52.09,-62.57,82.36,10.0,652.71,492.91,-72.64,-37.56,10.0,120.68,48.71,48.04,-92.24,10.0,612.57,448.09,30.16,-31.02,10.0,543.12,32.19,7.27,62.16,10.0,116.72,116.13,55.99,8.45,10.0,290.41,444.53,-65.25,17.47,10.0,94.85,251.47,-2.8,63.33,10.0
5.666,63.0,60.47,0.132,0.0,-2.5,380.06,53.4,-62.57,82.36,10.0,651.55,492.31,-72.64,-37.56,10.0,121.45,47.24,48.04,-92.24,10.0,613.05,447.59,30.16,-31.02,10.0,543.24,33.18,7.27,62.16,10.0,117.62,116.27,55.99,8.45,10.0,289.37,444.81,-65.25,17.47,10.0,94.8,252.49,-2.8,63.33,10.0
5.682,63.0,60.47,0.092,0.0,-2.5,379.06,54.72,-62.57,82.36,10.0,650.38,491.71,-72.64,-37.56,10.0,122.22,45.76,48.04,-92.24,10.0,613.53,447.1,30.16,-31.02,10.0,543.35,34.18,7.27,62.16,10.0,118.52,116.4,55.99,8.45,10.0,288.32,445.09,-65.25,17.47,10.0,94.76,253.5,-2.8,63.33,10.0
5.698,63.0,60.47,0.052,0.0,-2.5,378.06,56.04,-62.57,82.36,10.0,649.22,491.11,-72.64,-37.56,10.0,122.98,44.28,48.04,-92.24,10.0,614.02,446.6,30.16,-31.02,10.0,543.47,35.17,7.27,62.16,10.0,119.41,116.54,55.99,8.45,10.0,287.28,445.37,-65.25,17.47,10.0,94.71,254.51,-2.8,63.33,10.0
5.714,63.0,60.47,0.012,0.0,-2.5,377.06,57.36,-62.57,82.36,10.0,648.06,490.51,-72.64,-37.56,10.0,123.75,42.81,48.04,-92.24,10.0,614.5,446.11,30.16,-31.02,10.0,543.59,36.17,7.27,62.16,10.0,120.31,116.67,55.99,8.45,10.0,286.24,445.65,-65.25,17.47,10.0,94.67,255.53,-2.8,63.33,10.0
5.731,63.0,60.47,-0.031,0.0,-2.5,375.99,58.76,-62.57,82.36,10.0,646.82,489.87,-72.64,-37.56,10.0,124.57,41.24,48.04,-92.24,10.0,615.01,445.58,30.16,-31.02,10.0,543.71,37.22,7.27,62.16,10.0,121.26,116.82,55.99,8.45,10.0,285.13,445.95,-65.25,17.47,10.0,94.62,256.6,-2.8,63.33,10.0
5.748,63.0,60.47,-0.073,0.0,-2.5,374.93,60.16,-62.57,82.36,10.0,645.59,489.23,-72.64,-37.56,10.0,125.39,39.67,48.04,-92.24,10.0,615.52,445.05,30.16,-31.02,10.0,543.83,38.28,7.27,62.16,10.0,122.21,116.96,55.99,8.45,10.0,284.02,446.24,-65.25,17.47,10.0,94.57,257.68,-2.8,63.33,10.0
5.765,63.0,60.47,-0.116,0.0,-2.5,373.87,61.56,-62.57,82.36,10.0,644.35,488.59,-72.64,-37.56,10.0,126.2,38.1,48.04,-92.24,10.0,616.04,444.52,30.16,-31.02,10.0,543.96,39.34,7.27,62.16,10.0,123.16,117.1,55.99,8.45,10.0,282.91,446.54,-65.25,17.47,10.0,94.53,258.76,-2.8,63.33,10.0
5.782,63.0,60.47,-0.158,0.0,-2.5,372.8,62.96,-62.57,82.36,10.0,643.12,487.95,-72.64,-37.56,10.0,127.02,36.54,48.04,-92.24,10.0,616.55,444.0,30.16,-31.02,10.0,544.08,40.39,7.27,62.16,10.0,124.12,117.25,55.99,8.45,10.0,281.8,446.84,-65.25,17.47,10.0,94.48,259.83,-2.8,63.33,10.0
5.799,63.0,60.47,-0.201,0.0,-2.5,371.74,64.36,-62.57,82.36,10.0,641.88,487.31,-72.64,-37.56,10.0,127.84,34.97,48.04,-92.24,10.0,617.06,443.47,30.16,-31.02,10.0,544.2,41.45,7.27,62.16,10.0,125.07,117.39,55.99,8.45,10.0,280.69,447.13,-65.25,17.47,10.0,94.43,260.91,-2.8,63.33,10.0
5.815,63.0,60.47,-0.241,0.0,-2.5,370.74,65.68,-62.57,82.36,10.0,640.72,486.71,-72.64,-37.56,10.0,128.61,33.49,48.04,-92.24,10.0,617.55,442.97,30.16,-31.02,10.0,544.32,42.45,7.27,62.16,10.0,125.96,117.53,55.99,8.45,10.0,279.65,447.41,-65.25,17.47,10.0,94.39,261.92,-2.8,63.33,10.0
5.832,63.0,60.47,-0.283,0.0,-2.5,369.67,67.08,-62.57,82.36,10.0,639.49,486.08,-72.64,-37.56,10.0,129.42,31.92,48.04,-92.24,10.0,618.06,442.44,30.16,-31.02,10.0,544.44,43.5,7.27,62.16,10.0,126.92,117.67,55.99,8.45,10.0,278.54,447.71,-65.25,17.47,10.0,94.34,263.0,-2.8,63.33,10.0
5.858,63.0,60.47,-0.348,0.0,-2.5,368.05,69.22,-62.57,82.36,10.0,637.6,485.1,-72.64,-37.56,10.0,130.67,29.53,48.04,-92.24,10.0,618.84,441.64,30.16,-31.02,10.0,544.63,45.12,7.27,62.16,10.0,128.37,117.89,55.99,8.45,10.0,276.84,448.16,-65.25,17.47,10.0,94.27,264.65,-2.8,63.33,10.0
